make,mileage,model_year,transmission_from_vin,stock_type,msrp
Hyundai,106801.0,2016,A,USED,37149
Hyundai,139000.0,2018,A,USED,31399
Toyota,213000.0,2012,A,USED,27500
Ford,96975.0,2017,A,USED,29399
Nissan,48168.77220551646,2024,A,NEW,33648
GMC,92500.0,2018,A,USED,41115
Toyota,163967.0,2017,A,USED,32950
Hyundai,94103.0,2019,A,USED,28999
Mazda,48168.77220551646,2024,A,NEW,36100
Ram,51252.0,2022,A,USED,53540
Jeep,16.0,2024,A,NEW,63770
Subaru,5.0,2024,A,NEW,40595
Hyundai,27820.0,2021,A,USED,21599
Ram,106843.0,2018,A,USED,52695
Ram,19.0,2023,A,NEW,54645
BMW,90.0,2024,A,NEW,56700
Lexus,90.0,2024,A,NEW,67350
Hyundai,10.0,2024,A,NEW,34199
Ford,194554.0,2013,A,USED,26899
Ram,18.0,2024,A,NEW,68670
Honda,13325.0,2023,A,USED,56435
Volkswagen,62997.0,2016,A,USED,30550
Chevrolet,130.0,2024,A,NEW,83699
Ram,21.0,2024,A,NEW,68670
Kia,25.0,2024,A,NEW,42975
Nissan,56040.0,2016,A,USED,31798
Lexus,31844.0,2023,A,USED,63250
Dodge,18.0,2024,A,NEW,69970
Kia,9787.0,2023,A,USED,50395
Chevrolet,128891.0,2017,A,USED,26895
Kia,22674.0,2023,A,USED,36095
Honda,51427.0,2022,A,USED,26765
Hyundai,178678.0,2015,A,USED,25999
Nissan,70628.0,2022,A,USED,35998
Volkswagen,12.0,2024,A,NEW,60495
Mercedes-Benz,16204.0,2019,A,USED,185900
Chevrolet,15.0,2024,A,NEW,63999
Honda,30985.0,2018,A,USED,22390
GMC,75198.0,2018,A,USED,72440
Nissan,18169.0,2020,A,USED,30098
Volkswagen,119050.0,2018,A,USED,35745
Kia,82684.0,2021,A,USED,22995
Volkswagen,110656.0,2018,A,USED,43465
BMW,19578.0,2024,A,USED,86000
Chevrolet,50.0,2024,A,NEW,35845
Chevrolet,137517.0,2015,A,USED,19795
Chevrolet,131482.0,2018,A,USED,37500
Acura,10379.0,2024,A,USED,38850
Ford,25909.0,2022,A,USED,45999
Acura,72006.0,2019,A,USED,60490
Ram,48168.77220551647,2023,A,USED,54645
Ford,113521.0,2018,A,USED,30449
Chevrolet,82185.0,2021,A,USED,47998
Volkswagen,42734.0,2020,A,USED,32040
Cadillac,67880.0,2021,A,USED,117798
Mercedes-Benz,90.0,2024,A,NEW,58900
GMC,147.0,2024,A,NEW,64099
Nissan,48168.77220551646,2024,A,NEW,44998
Jeep,18.0,2024,A,NEW,65045
Chevrolet,22.0,2024,A,NEW,63999
Mercedes-Benz,56.0,2024,A,NEW,73900
BMW,90.0,2024,A,NEW,56700
Subaru,14855.0,2022,M,USED,32495
Ram,109279.0,2019,A,USED,74595
Chrysler,15.0,2024,A,NEW,59995
Chrysler,52913.0,2021,A,USED,53995
Chevrolet,4115.0,2024,A,NEW,63799
Volvo,100001.0,2021,A,USED,61050
Chevrolet,10.0,2024,A,NEW,61599
Volkswagen,35550.0,2020,A,USED,47395
Ford,105560.0,2020,A,USED,49169
Audi,60083.0,2021,A,USED,64800
GMC,3.0,2024,A,NEW,103299
Nissan,12.0,2024,A,NEW,37398
Audi,48168.77220551646,2024,A,NEW,53615
GMC,250753.0,2016,A,USED,63550
Toyota,48168.77220551646,2024,A,NEW,46790
Hyundai,15.0,2024,A,NEW,40599
Audi,33937.0,2020,A,USED,46200
Toyota,58691.0,2022,A,USED,52490
Ford,158.0,2024,A,NEW,71000
Mitsubishi,85313.0,2021,A,USED,25698
Volkswagen,11.0,2024,M,NEW,48895
Hyundai,109000.0,2017,A,USED,38699
Ford,82429.0,2021,A,USED,32149
Mitsubishi,10.0,2024,A,NEW,37998
Hyundai,17410.0,2023,A,USED,22549
Volkswagen,112227.0,2019,A,USED,22395
Nissan,73696.0,2018,A,USED,39698
Kia,53722.0,2020,A,USED,19295
Mitsubishi,77798.0,2022,A,USED,28598
Dodge,15.0,2024,A,NEW,69970
Volkswagen,119895.0,2018,A,USED,26495
Subaru,48168.77220551646,2024,A,NEW,41295
Jeep,6.0,2024,A,NEW,55045
Nissan,61962.0,2023,A,USED,48098
Ford,68993.0,2020,A,USED,33570
Jeep,77250.0,2019,A,USED,32940
Jeep,18.0,2024,A,NEW,59270
Honda,120290.0,2019,A,USED,27990
GMC,39.0,2024,A,NEW,93199
Ram,57479.0,2019,A,USED,49595
GMC,15.0,2024,A,NEW,106799
Dodge,17.0,2024,A,NEW,58770
Ford,48168.77220551646,2024,A,NEW,71000
Hyundai,103403.0,2019,A,USED,41899
Honda,29124.0,2019,A,USED,38490
Chrysler,131367.0,2022,A,USED,61995
GMC,10.0,2024,A,NEW,64699
Toyota,48168.77220551646,2024,A,NEW,42550
Ram,35.0,2024,A,NEW,98770
Chevrolet,103219.0,2021,A,USED,27948
Subaru,10540.0,2020,A,USED,27895
Hyundai,107947.0,2013,A,USED,21299
Jeep,18.0,2024,A,NEW,63045
Jeep,15.0,2024,A,NEW,43770
Audi,63764.0,2020,A,USED,71300
GMC,21.0,2024,A,NEW,56099
Ford,62382.0,2018,A,USED,28888
Jeep,193.0,2023,A,NEW,89290
Nissan,21.0,2024,A,NEW,20298
Nissan,278393.0,2012,A,USED,34278
Nissan,2010.0,2023,A,NEW,43248
Ford,15400.0,2023,A,USED,41879
Ford,92915.0,2019,A,USED,39999
Chevrolet,130574.0,2018,A,USED,39640
Hyundai,10.0,2024,A,NEW,56999
Ford,43881.0,2020,A,USED,73199
Chevrolet,3.0,2024,A,NEW,86699
Nissan,15.0,2024,A,NEW,53898
Audi,254154.0,2013,A,USED,43150
GMC,49122.0,2019,A,USED,63000
GMC,48168.77220551646,2024,A,NEW,89699
Ford,152292.0,2018,A,USED,47949
Nissan,45947.0,2017,A,USED,26798
Nissan,10.0,2024,A,NEW,37398
Honda,67.0,2024,A,NEW,49775
Lexus,34663.0,2018,A,USED,66050
Mazda,15915.0,2023,A,USED,34450
Lexus,27132.0,2021,A,USED,44350
Chevrolet,70418.0,2020,A,USED,15898
Jeep,48168.77220551646,2024,A,NEW,43670
Cadillac,47625.0,2022,A,USED,62698
Jeep,14.0,2024,A,NEW,73945
Jeep,14.0,2024,A,NEW,63045
Audi,16979.0,2023,A,USED,55800
Lexus,107685.0,2021,A,USED,65150
Hyundai,20.0,2024,A,NEW,40599
Ram,72060.0,2018,A,USED,46595
GMC,189339.0,2017,A,USED,68790
Hyundai,31.0,2024,A,NEW,47599
Chevrolet,15.0,2024,A,NEW,97399
Hyundai,115229.0,2020,A,USED,19099
Honda,119010.0,2020,A,USED,28490
Ram,156532.0,2016,A,USED,54395
Ford,224820.0,2009,A,USED,37299
Lincoln,34.0,2024,A,NEW,53500
Ram,21.0,2023,A,NEW,65795
GMC,239165.0,2010,A,USED,49860
Ford,130174.0,2021,A,USED,57499
Jeep,13.0,2024,A,NEW,59045
Toyota,38251.0,2021,A,USED,35490
Toyota,92718.0,2020,A,USED,33790
GMC,11.0,2024,A,NEW,95599
Hyundai,3785.0,2023,A,NEW,22449
Lincoln,73466.0,2017,A,USED,60500
Jeep,300.0,2024,A,NEW,82045
Chevrolet,70594.0,2022,A,USED,72248
GMC,79743.0,2020,A,USED,81098
Hyundai,71404.0,2020,A,USED,22399
Audi,115350.0,2018,A,USED,58000
Toyota,26706.0,2021,A,USED,43070
Mazda,40000.0,2021,A,USED,42050
Honda,125391.0,2017,A,USED,27490
BMW,90.0,2024,A,NEW,48800
Mini,14860.0,2024,A,USED,37990
Jeep,19.0,2024,A,NEW,43670
Chevrolet,15.0,2024,A,NEW,27999
Ford,48168.77220551646,2023,A,NEW,62900
Ram,39700.0,2022,A,USED,76145
GMC,15.0,2024,A,NEW,97599
Nissan,44461.0,2022,A,USED,40648
Ford,10.0,2024,A,NEW,38995
GMC,45.0,2024,A,NEW,39245
Cadillac,107989.0,2018,A,USED,47025
Dodge,48168.77220551647,2023,A,USED,67695
Ford,113.0,2024,A,NEW,67225
Jeep,198625.0,2017,A,USED,35395
Dodge,48168.77220551646,2024,A,NEW,37995
Nissan,48168.77220551646,2024,A,NEW,46898
Ram,18.0,2024,A,NEW,68670
Volkswagen,95754.0,2019,A,USED,32245
Hyundai,10.0,2024,A,NEW,20899
Toyota,16722.0,2023,A,USED,34280
Hyundai,171925.0,2016,A,USED,45399
Chevrolet,162276.0,2015,A,USED,60055
Hyundai,127233.0,2017,A,USED,34899
Ford,21.0,2024,A,NEW,43195
Chevrolet,46541.0,2021,A,USED,53098
Hyundai,101.0,2024,A,NEW,40599
Nissan,105854.0,2018,M,USED,22698
Jeep,103579.0,2017,A,USED,33045
GMC,7.0,2024,A,NEW,39245
Toyota,77667.0,2021,A,USED,21950
Ford,15.0,2024,A,NEW,104245
Hyundai,6.0,2024,A,NEW,58299
Toyota,48168.77220551646,2024,M,NEW,48540
Chevrolet,48168.77220551646,2024,A,NEW,53499
Kia,28.0,2024,A,NEW,24395
Honda,11023.0,2023,A,USED,48890
Nissan,158214.0,2018,A,USED,20258
Ford,10.0,2024,A,NEW,37149
GMC,4.0,2024,A,NEW,66699
