make,mileage,model_year,transmission_from_vin,stock_type,msrp
Dodge,207409.0,2019,A,USED,37845
GMC,138554.0,2014,A,USED,42810
Jeep,19518.0,2022,A,USED,52945
Ford,31101.0,2020,A,USED,35049
Ford,20.0,2023,A,NEW,47379
GMC,15.0,2024,A,NEW,66699
Cadillac,25223.0,2021,A,USED,45098
Mazda,2.0,2024,A,NEW,36100
Chevrolet,168365.0,2016,A,USED,23295
Kia,94000.0,2018,A,USED,23745
Jeep,106100.0,2020,A,USED,54195
GMC,4.0,2024,A,NEW,66399
Cadillac,10.0,2024,A,NEW,70694
Ford,22.0,2024,A,NEW,44335
Mercedes-Benz,67000.0,2021,A,USED,65500
Toyota,48168.77220551646,2024,A,NEW,90690
Toyota,94600.0,2021,A,USED,46570
Ford,65248.0,2020,A,USED,38149
Honda,22000.0,2022,A,USED,55385
GMC,55342.0,2022,A,USED,62948
Volkswagen,10.0,2023,A,NEW,55495
Ford,30.0,2023,A,NEW,72150
Ram,48168.77220551647,2024,A,USED,84920
Ford,73093.0,2020,A,USED,38329
Mitsubishi,44499.0,2022,A,USED,31998
Chevrolet,46289.0,2022,A,USED,69948
Mazda,39870.0,2022,A,USED,31650
Subaru,105733.0,2016,A,USED,31295
GMC,182768.0,2015,A,USED,32500
Volkswagen,51648.0,2020,A,USED,25745
Mini,62884.0,2017,M,USED,27490
Nissan,15.0,2024,A,NEW,58098
Nissan,11.0,2024,A,NEW,37398
Chevrolet,6.0,2024,A,NEW,112299
Ram,18.0,2023,A,NEW,54645
Nissan,10.0,2024,M,NEW,27448
Nissan,118503.0,2010,A,USED,38498
Chevrolet,12.0,2024,A,NEW,92299
Ford,10.0,2024,A,NEW,76295
Chevrolet,15.0,2024,A,NEW,63799
Volkswagen,5.0,2024,A,NEW,42395
Ram,15.0,2023,A,NEW,54645
Volkswagen,157599.0,2013,A,USED,16390
Audi,79392.0,2020,A,USED,38900
Chevrolet,30.0,2024,A,NEW,56699
Dodge,48168.77220551646,2024,A,NEW,58770
Nissan,12.0,2024,A,NEW,49898
Ford,155106.0,2015,A,USED,28199
Honda,25991.0,2022,A,USED,42870
Ram,64692.0,2021,A,USED,53120
Kia,58.0,2024,A,NEW,31995
Buick,7.0,2024,A,NEW,31649
Ram,30.0,2024,A,NEW,83570
Chevrolet,101262.0,2019,A,USED,37700
Hyundai,10.0,2024,A,NEW,40999
Chevrolet,82000.0,2021,A,USED,50698
Volkswagen,12.0,2024,A,NEW,33995
GMC,48168.77220551646,2024,A,NEW,81399
Cadillac,6.0,2024,A,NEW,48899
Dodge,71610.0,2020,A,USED,43095
Ram,21.0,2024,A,NEW,71020
Nissan,39540.0,2019,A,USED,20998
Ford,22.0,2024,A,NEW,64590
Ford,67664.0,2020,A,USED,61899
Toyota,48168.77220551646,2024,A,NEW,80290
Acura,187814.0,2017,A,USED,45050
Jeep,48168.77220551646,2024,A,NEW,59045
Porsche,35300.0,2021,A,USED,77500
Hyundai,144000.0,2014,A,USED,25999
GMC,64050.0,2021,A,USED,51798
Nissan,48168.77220551646,2024,A,NEW,39548
Hyundai,11.0,2024,A,NEW,21999
Nissan,24.0,2024,A,NEW,53898
Jeep,10.0,2024,A,NEW,63045
Ford,144339.0,2014,A,USED,29199
Audi,46745.0,2020,A,USED,46300
GMC,163373.0,2017,A,USED,55570
Porsche,218232.0,2011,M,USED,55300
Kia,48044.0,2022,A,USED,19995
Ford,10.0,2024,A,NEW,43579
Chevrolet,89744.0,2021,A,USED,27948
Ford,10.0,2024,A,NEW,64590
Acura,15.0,2024,A,NEW,67680
Ford,189439.0,2015,A,USED,53799
Dodge,21.0,2023,A,NEW,48195
Ram,104095.0,2017,A,USED,53695
Chevrolet,114580.0,2020,A,USED,60298
BMW,5500.0,2024,A,NEW,98000
Volkswagen,5.0,2024,A,NEW,33995
Audi,48168.77220551646,2024,A,NEW,59265
Volkswagen,124242.0,2017,A,USED,25195
Mazda,10.0,2024,A,NEW,35750
Mazda,10.0,2024,A,NEW,59950
Ram,78127.0,2022,A,USED,63895
Ram,119102.0,2019,A,USED,48070
Audi,145832.0,2017,M,USED,45400
Chrysler,71078.0,2022,A,USED,54645
GMC,15.0,2024,A,NEW,71999
Chevrolet,123745.0,2018,A,USED,44155
Ford,155.0,2023,A,NEW,74950
Alfa Romeo,32.0,2024,A,NEW,57495
Lexus,90.0,2024,A,NEW,55850
GMC,5588.0,2023,A,USED,97403
Chevrolet,11681.0,2022,A,USED,57198
Lexus,90.0,2024,A,NEW,61850
Toyota,36.0,2024,A,NEW,58350
Chevrolet,30.0,2024,A,NEW,27999
Mini,15751.0,2024,A,USED,47890
Infiniti,49148.0,2018,A,USED,44995
Honda,10.0,2024,A,NEW,58170
Honda,89.0,2024,A,NEW,52480
Ram,64850.0,2020,A,USED,51370
Chevrolet,5.0,2024,A,NEW,97399
Toyota,158186.0,2015,A,USED,24100
Volkswagen,15.0,2024,A,NEW,60495
Kia,87361.0,2020,A,USED,24295
Ford,48168.77220551646,2024,A,NEW,43195
Kia,54175.0,2023,A,USED,36095
Ram,185327.0,2017,A,USED,63095
Honda,141542.0,2015,A,USED,19850
Chrysler,48168.77220551646,2024,A,NEW,48570
Jeep,10.0,2024,A,NEW,65045
Chevrolet,15.0,2024,A,NEW,63499
Kia,90348.0,2021,A,USED,21195
Lincoln,17001.0,2023,A,USED,111000
GMC,15.0,2024,A,NEW,106799
Ram,170475.0,2017,A,USED,45595
Toyota,80552.0,2019,A,USED,27325
Nissan,16.0,2024,A,NEW,24698
BMW,2429.0,2024,A,USED,59600
Audi,90.0,2024,A,NEW,62515
Hyundai,56506.0,2020,A,USED,20599
Kia,21.0,2024,A,NEW,61495
Ford,50.0,2024,A,NEW,59640
Volkswagen,86799.0,2022,A,USED,29895
Toyota,73589.0,2018,A,USED,53290
Ford,196431.0,2018,A,USED,60599
Cadillac,31600.0,2022,A,USED,62698
Nissan,48168.77220551646,2024,A,NEW,39548
GMC,15.0,2024,A,NEW,66399
Mitsubishi,10.0,2024,A,NEW,39998
Mazda,51486.0,2020,A,USED,37650
Dodge,20899.0,2023,A,USED,45895
Nissan,78718.0,2020,A,USED,30098
Toyota,48168.77220551646,2024,A,NEW,48790
Volkswagen,7350.0,2024,A,USED,29995
Ford,48168.77220551646,2024,A,NEW,63095
Jeep,88941.0,2022,A,USED,60545
Jeep,10.0,2024,A,NEW,37270
Subaru,50353.0,2020,M,USED,42795
Mazda,10.0,2024,A,NEW,49250
Kia,48168.77220551646,2024,A,NEW,38975
Hyundai,77400.0,2019,A,USED,32199
Dodge,85253.0,2017,A,USED,36595
Kia,33303.0,2023,A,USED,22095
Ford,381230.0,2014,A,USED,42049
Hyundai,42819.0,2022,A,USED,46399
Ram,64768.0,2022,A,USED,56045
Ford,10.0,2024,A,NEW,67225
Audi,15.0,2024,A,NEW,47765
Ford,9248.0,2022,A,USED,37649
Ford,10.0,2023,A,NEW,59125
Mazda,75605.0,2019,A,USED,24300
Volkswagen,15.0,2024,M,NEW,48895
Chevrolet,121221.0,2019,A,USED,34700
Nissan,26.0,2024,A,NEW,53898
Ford,40647.0,2022,A,USED,97725
Dodge,48168.77220551646,2024,A,NEW,37995
Hyundai,58.0,2024,A,NEW,51199
Jeep,211000.0,2016,A,USED,28895
GMC,119064.0,2012,A,USED,39935
Ford,49794.0,2022,A,USED,37649
Ford,144472.0,2018,A,USED,46649
Dodge,75812.0,2022,A,USED,43265
GMC,49521.0,2022,A,USED,44948
Acura,110000.0,2018,A,USED,47390
Chevrolet,273.0,2024,A,NEW,86699
Nissan,100.0,2024,A,NEW,58098
Toyota,37292.0,2021,M,USED,19150
Hyundai,19.0,2024,A,NEW,54999
Ford,30.0,2024,A,NEW,35649
Lexus,84504.0,2019,A,USED,55350
Jeep,35011.0,2021,A,USED,48495
GMC,252175.0,2012,A,USED,49600
Hyundai,17596.0,2024,A,USED,35499
Ford,84320.0,2016,A,USED,34599
Volkswagen,17952.0,2023,A,USED,37995
Honda,48168.77220551646,2024,A,NEW,37910
Kia,9.0,2024,A,NEW,47975
Nissan,86704.0,2019,A,USED,31198
Ford,10.0,2023,A,NEW,56480
Volkswagen,99964.0,2021,A,USED,50295
BMW,90.0,2024,A,NEW,111500
Chevrolet,148096.0,2017,A,USED,18195
Cadillac,94637.0,2017,A,USED,107205
Mitsubishi,5.0,2024,A,NEW,29398
Kia,68888.0,2019,A,USED,38845
Chevrolet,15.0,2024,A,NEW,79399
Hyundai,54705.0,2023,A,USED,26699
Ford,15.0,2024,A,NEW,43500
Hyundai,9.0,2024,A,NEW,58299
Ford,92146.0,2018,A,USED,37199
Toyota,38000.0,2022,A,USED,46050
Kia,32000.0,2020,A,USED,22895
Nissan,79640.0,2020,A,USED,43698
Audi,90.0,2024,A,NEW,43715
Honda,40728.0,2022,A,USED,39270
Jeep,21981.0,2021,A,USED,38690
Chevrolet,15.0,2024,A,NEW,172799
Kia,21.0,2024,A,NEW,65495
Ford,98187.0,2021,A,USED,51639
Volkswagen,5.0,2024,A,NEW,41795
Lexus,90.0,2024,A,NEW,75350
Hyundai,159196.0,2017,A,USED,44399
Ford,68.0,2024,A,NEW,64590
Nissan,41873.0,2022,A,USED,24798
Ram,25.0,2024,A,NEW,79175
Tesla,224000.0,2016,A,USED,119200
Toyota,51589.0,2021,A,USED,52150
Volkswagen,92843.0,2019,A,USED,22395
Jeep,34697.0,2022,A,USED,35895
Ram,6.0,2024,A,NEW,75650
GMC,1.0,2024,A,NEW,103299
Chevrolet,51981.0,2020,A,USED,41398
Nissan,34.0,2024,A,NEW,51998
Jeep,13473.0,2022,A,USED,71005
Mazda,48168.77220551646,2024,A,NEW,37550
Ford,60972.0,2020,A,USED,35049
Hyundai,84269.0,2021,A,USED,31799
Ford,132529.0,2012,A,USED,19899
Chrysler,48168.77220551646,2024,A,NEW,68420
Mitsubishi,10.0,2024,A,NEW,37298
Lexus,90.0,2024,A,NEW,69350
Subaru,62337.0,2021,A,USED,29995
BMW,90.0,2024,A,NEW,95000
Jeep,15.0,2024,A,NEW,73270
GMC,27281.0,2024,A,USED,107399
Honda,91420.0,2020,A,USED,42590
Nissan,115361.0,2017,M,USED,16898
GMC,12429.0,2023,A,USED,142698
Honda,12.0,2024,A,NEW,37630
Ford,152127.0,2016,A,USED,28699
Mercedes-Benz,9530.0,2023,A,USED,58600
Chevrolet,3031.0,2024,A,NEW,63499
Jeep,15056.0,2022,A,USED,46840
Nissan,11.0,2024,A,NEW,42848
Mazda,74181.0,2018,A,USED,29350
Dodge,48168.77220551646,2023,A,NEW,45695
Nissan,29284.0,2022,A,USED,24598
Ford,48168.77220551646,2023,A,NEW,103010
Mazda,13252.0,2023,A,USED,41550
Subaru,20.0,2024,A,NEW,36995
GMC,12200.0,2024,A,USED,81399
Jeep,16.0,2024,A,NEW,40170
Ford,10.0,2024,A,NEW,67225
GMC,15.0,2024,A,NEW,82199
Honda,6.0,2024,A,NEW,52480
Toyota,43906.0,2011,A,USED,17725
Volkswagen,75307.0,2021,A,USED,25645
GMC,51365.0,2023,A,USED,81603
Honda,22501.0,2021,A,USED,36805
Jeep,24711.0,2022,A,USED,51045
Chevrolet,3.0,2024,A,NEW,31899
Audi,48168.77220551646,2024,A,NEW,59265
GMC,9.0,2024,A,NEW,97599
Subaru,146905.0,2019,A,USED,35995
Chevrolet,15.0,2024,A,NEW,79399
Ram,15.0,2024,A,NEW,68670
Ford,12.0,2023,A,NEW,72150
Toyota,82147.0,2021,A,USED,30350
Honda,71250.0,2018,A,USED,29890
Toyota,201465.0,2012,A,USED,66570
Mazda,35707.0,2021,A,USED,37800
Jeep,48168.77220551646,2024,A,NEW,63770
Ford,15477.0,2022,A,USED,33199
BMW,90.0,2024,A,NEW,95000
Ram,55.0,2024,A,NEW,68670
BMW,90.0,2024,A,NEW,48800
Ford,48168.77220551646,2024,A,NEW,71000
Subaru,148058.0,2021,A,USED,39295
BMW,18472.0,2023,A,USED,80700
Volkswagen,15.0,2024,A,NEW,60495
Kia,74871.0,2021,A,USED,22295
Dodge,73719.0,2019,A,USED,36845
Ram,48168.77220551646,2023,A,NEW,53445
Lexus,50286.0,2021,A,USED,64050
Jeep,18.0,2024,A,NEW,44270
Mazda,86904.0,2021,A,USED,30200
GMC,27968.0,2023,A,USED,41998
Ram,28.0,2024,A,NEW,57020
Jeep,30.0,2024,A,NEW,51770
Chevrolet,26467.0,2022,A,USED,16298
GMC,55.0,2023,A,NEW,47298
Kia,139424.0,2015,A,USED,30795
Ford,143641.0,2016,A,USED,51599
Ford,43331.0,2021,A,USED,40249
Volkswagen,12.0,2024,A,NEW,54495
Volkswagen,20.0,2024,A,NEW,31595
Kia,69.0,2024,A,NEW,78995
Jeep,10101.0,2023,A,USED,94495
Ford,35452.0,2022,A,USED,41699
GMC,15.0,2024,A,NEW,66699
GMC,15.0,2024,A,NEW,37895
Subaru,21378.0,2023,A,USED,46395
Dodge,5268.0,2023,A,USED,45695
Volkswagen,13091.0,2024,A,USED,57495
Ford,5.0,2024,A,NEW,48035
Volkswagen,48168.77220551646,2024,A,NEW,60495
Nissan,48168.77220551646,2024,A,NEW,44998
Nissan,11.0,2024,M,NEW,22548
Nissan,12.0,2024,A,NEW,27198
Dodge,55.0,2024,A,NEW,58770
Buick,3245.0,2024,A,USED,29649
Subaru,19.0,2024,A,NEW,38295
Volkswagen,9.0,2024,A,NEW,59395
Mitsubishi,50420.0,2019,A,USED,12198
Ram,10.0,2024,A,NEW,104570
Ford,68785.0,2019,A,USED,30749
Subaru,105381.0,2020,A,USED,35495
Ram,3969.0,2024,A,USED,80620
GMC,48.0,2024,A,NEW,56099
BMW,25302.0,2022,A,USED,52990
Mercedes-Benz,6.0,2023,A,NEW,48900
Mini,90.0,2024,A,NEW,37990
Ford,92614.0,2020,A,USED,46719
Honda,94505.0,2021,A,USED,32350
Mitsubishi,54000.0,2019,A,USED,30998
Lincoln,51.0,2024,A,NEW,61900
Audi,16.0,2024,A,NEW,121250
Chevrolet,94.0,2024,A,NEW,67499
Honda,24877.0,2023,A,USED,47435
Mercedes-Benz,90.0,2024,A,NEW,61000
Honda,25.0,2024,A,NEW,30750
GMC,112152.0,2017,A,USED,66295
Ram,69024.0,2022,A,USED,63895
Ford,24.0,2024,A,NEW,80495
Nissan,63217.0,2019,A,USED,37298
GMC,52832.0,2019,A,USED,51200
Subaru,48168.77220551646,2022,A,NEW,28595
Volkswagen,233282.0,2013,A,USED,28940
Jeep,59599.0,2017,A,USED,51995
Jeep,23.0,2024,A,NEW,50770
Infiniti,52567.0,2020,A,USED,61695
Ram,5.0,2024,A,NEW,68670
Ram,15.0,2023,A,NEW,54645
Ford,9.0,2024,A,NEW,47235
Ram,36.0,2023,A,NEW,59040
Dodge,4590.0,2023,A,USED,44895
Jeep,13.0,2024,A,NEW,61045
Honda,2220.0,2024,A,NEW,42075
Chevrolet,94174.0,2022,A,USED,58148
Ford,72000.0,2021,A,USED,48589
BMW,104253.0,2018,A,USED,48000
Chevrolet,75838.0,2018,A,USED,27000
Nissan,9342.0,2023,A,USED,56998
Nissan,15.0,2024,A,NEW,44998
Ram,21.0,2024,A,NEW,100570
Jeep,18.0,2024,A,NEW,59995
Chevrolet,23822.0,2021,A,USED,39648
Ram,56349.0,2022,A,USED,54835
Ford,106271.0,2019,A,USED,59399
Ram,95088.0,2018,A,USED,54695
Hyundai,85340.0,2020,A,USED,32399
Chevrolet,14.0,2024,A,NEW,55099
Toyota,79000.0,2021,A,USED,51850
Toyota,64007.0,2019,A,USED,45495
Chevrolet,90528.0,2017,A,USED,29370
Ram,48168.77220551646,2024,A,NEW,83570
Jeep,62387.0,2018,A,USED,45745
GMC,15.0,2024,A,NEW,66699
Honda,25.0,2024,A,NEW,52480
Lexus,90.0,2024,A,NEW,70850
Ram,20.0,2024,A,NEW,67070
Jeep,38.0,2024,A,NEW,79045
Mercedes-Benz,90.0,2024,A,NEW,58900
Hyundai,36.0,2024,A,NEW,56999
Nissan,40100.0,2021,A,USED,40798
Kia,85453.0,2021,M,USED,17295
Toyota,48168.77220551646,2024,A,NEW,59920
Chevrolet,143078.0,2021,A,USED,42498
Toyota,99941.0,2011,A,USED,32250
Nissan,48168.77220551646,2024,A,NEW,22098
Ford,20.0,2024,A,NEW,77805
Lexus,90.0,2024,A,NEW,67350
Mini,28962.0,2023,M,USED,30690
Volkswagen,9.0,2024,A,NEW,41795
Nissan,53000.0,2022,A,USED,22598
Nissan,22615.0,2023,A,USED,43240
Audi,4062.0,2023,A,USED,49900
Mini,90.0,2024,A,NEW,47890
Jeep,131100.0,2017,A,USED,36245
Honda,27.0,2024,A,NEW,45000
Jeep,47527.0,2022,A,USED,40895
Chevrolet,6.0,2024,A,NEW,172799
GMC,5.0,2024,A,NEW,66699
GMC,6.0,2024,A,NEW,61399
Ford,15.0,2024,A,NEW,80495
Mitsubishi,11.0,2024,A,NEW,44398
Nissan,48935.0,2019,A,USED,39398
Chrysler,48373.0,2023,A,USED,56995
Subaru,54287.0,2021,A,USED,28195
Kia,48168.77220551646,2023,A,NEW,47995
Nissan,92735.0,2019,A,USED,33298
Honda,5.0,2024,A,NEW,49775
Chevrolet,79378.0,2016,A,USED,27460
Volkswagen,56.0,2024,A,NEW,41795
Hyundai,86813.0,2021,A,USED,23299
Ford,138200.0,2018,A,USED,49199
Chevrolet,122088.0,2014,A,USED,37095
Nissan,11.0,2024,A,NEW,42848
Hyundai,92190.0,2019,A,USED,21849
Ford,5.0,2024,A,NEW,46999
Volkswagen,15.0,2024,A,NEW,60495
Ram,325.0,2023,A,NEW,54645
Kia,63637.0,2021,A,USED,39995
Nissan,48168.77220551646,2024,A,NEW,37398
Dodge,175112.0,2020,A,USED,40445
Ford,8529.0,2022,A,USED,33199
Hyundai,15.0,2024,A,NEW,36699
GMC,3.0,2024,A,NEW,51799
Ram,48168.77220551646,2024,A,NEW,82570
Nissan,48168.77220551646,2024,A,NEW,58098
Mercedes-Benz,137611.0,2015,A,USED,43000
Mazda,12.0,2024,A,NEW,39700
Volkswagen,69478.0,2021,A,USED,40195
GMC,4.0,2024,A,NEW,34945
Nissan,80958.0,2017,A,USED,40548
Mitsubishi,88637.0,2021,A,USED,28198
Dodge,924631.0,2019,A,USED,37845
Toyota,30781.0,2022,A,USED,50270
Ford,114217.0,2015,A,USED,42799
Subaru,8.0,2024,A,NEW,32195
Nissan,24914.0,2022,A,USED,41998
Mitsubishi,122300.0,2018,A,USED,32298
Nissan,198000.0,2017,A,USED,38178
Ford,205520.0,2020,A,USED,69179
Chevrolet,3.0,2024,A,NEW,61199
BMW,101557.0,2018,A,USED,40300
Chevrolet,137517.0,2015,A,USED,19795
Jeep,78.0,2024,A,NEW,43670
Nissan,11.0,2024,A,NEW,28548
GMC,149552.0,2019,A,USED,67900
Toyota,36260.0,2014,A,USED,19500
Lexus,20553.0,2020,A,USED,44350
Nissan,11.0,2024,A,NEW,58098
Volkswagen,15.0,2024,A,NEW,37995
Ford,5.0,2023,A,NEW,73295
Chevrolet,5.0,2024,A,NEW,56999
GMC,28150.0,2023,A,USED,41998
Kia,33472.0,2021,A,USED,35595
Alfa Romeo,48168.77220551647,2024,A,USED,46495
Ram,48168.77220551647,2022,A,USED,52545
Jaguar,158541.0,2013,A,USED,61500
Hyundai,17.0,2024,A,NEW,40599
Chrysler,48168.77220551646,2024,A,NEW,58820
Hyundai,130164.0,2017,A,USED,36249
Jeep,19.0,2024,A,NEW,40170
BMW,9354.0,2024,A,USED,56200
BMW,90.0,2024,A,NEW,79900
Hyundai,64937.0,2021,A,USED,36399
Honda,17455.0,2022,A,USED,54235
Jeep,12000.0,2022,A,USED,48640
Ford,188111.0,2014,A,USED,29199
Subaru,106021.0,2020,A,USED,28695
Subaru,170000.0,2022,A,USED,38995
Jeep,138958.0,2020,A,USED,49890
Jeep,3550.0,2023,A,USED,45990
GMC,85766.0,2019,A,USED,42500
Jeep,112282.0,2018,A,USED,45745
Jeep,48168.77220551647,2023,A,USED,49290
Hyundai,160198.0,2015,A,USED,62000
Nissan,15.0,2024,A,NEW,21998
Ram,7659.0,2022,A,USED,53540
Subaru,53934.0,2022,M,USED,39295
Hyundai,29990.0,2021,A,USED,21899
Hyundai,115937.0,2015,A,USED,19748
Toyota,48168.77220551646,2024,A,NEW,41090
Volkswagen,15.0,2024,A,NEW,57495
Toyota,55500.0,2021,A,USED,48670
Chevrolet,184241.0,2014,A,USED,30495
Chevrolet,43480.0,2021,A,USED,30598
Toyota,81740.0,2018,A,USED,42145
Volkswagen,77874.0,2018,A,USED,35175
Chevrolet,15.0,2024,A,NEW,67499
Jeep,50.0,2023,A,NEW,89290
Ford,70626.0,2021,A,USED,32149
GMC,15.0,2024,A,NEW,51799
Chrysler,16.0,2024,A,NEW,59995
Toyota,42769.0,2021,A,USED,33950
Chevrolet,7.0,2024,A,NEW,31345
GMC,8.0,2024,A,NEW,84199
Ram,70623.0,2022,A,USED,56045
Toyota,23734.0,2023,A,USED,35890
Ford,10241.0,2023,A,USED,92715
Jeep,24.0,2024,A,NEW,40170
Jeep,175019.0,2012,A,USED,37995
Hyundai,52456.0,2022,A,USED,47799
Toyota,40000.0,2021,M,USED,52360
Ram,119.0,2022,A,NEW,50845
Chevrolet,5.0,2024,A,NEW,64899
Chevrolet,263.0,2024,A,NEW,83999
Audi,48168.77220551646,2024,A,NEW,65515
Chevrolet,48168.77220551646,2022,A,NEW,39248
Kia,48168.77220551646,2024,A,NEW,60995
Chevrolet,143297.0,2015,A,USED,31870
Chevrolet,134924.0,2018,A,USED,44155
Jeep,101313.0,2019,A,USED,46745
Kia,88522.0,2020,A,USED,31995
Nissan,10.0,2024,A,NEW,33648
Kia,48168.77220551646,2024,A,NEW,59395
Dodge,88045.0,2018,A,USED,37195
Hyundai,84778.0,2022,A,USED,32299
Dodge,27.0,2024,A,NEW,55995
Volkswagen,10.0,2024,A,NEW,57995
Mazda,92226.0,2019,M,USED,24000
Honda,7075.0,2024,A,USED,31260
Chevrolet,53768.0,2023,A,USED,84403
Ford,102474.0,2019,A,USED,42289
Honda,190602.0,2016,A,USED,28350
Porsche,130398.0,2017,A,USED,89400
GMC,110.0,2024,A,NEW,66399
Mazda,143261.0,2017,A,USED,22500
Hyundai,7.0,2024,A,NEW,49999
GMC,3.0,2024,A,NEW,87599
Mini,50169.0,2017,M,USED,23240
Mitsubishi,48168.77220551646,2022,A,NEW,31998
Mitsubishi,48168.77220551646,2024,A,NEW,39998
Audi,90.0,2024,A,NEW,73215
Ford,10.0,2024,A,NEW,47235
Nissan,11.0,2024,A,NEW,24698
Ford,8000.0,2022,A,USED,35949
Volkswagen,15.0,2024,A,NEW,61495
Volkswagen,56525.0,2021,A,USED,35145
Ram,20.0,2023,A,NEW,56045
Nissan,37747.0,2016,A,USED,35248
Mercedes-Benz,6872.0,2023,A,NEW,58600
Buick,4.0,2024,A,NEW,36079
GMC,173343.0,2018,A,USED,74645
GMC,88064.0,2022,A,USED,35598
Jeep,10.0,2024,A,NEW,37270
Toyota,56043.0,2018,A,USED,24690
Volkswagen,89348.0,2021,A,USED,25645
Ram,18.0,2024,A,NEW,68670
Dodge,19.0,2024,A,NEW,37995
Audi,90.0,2024,A,NEW,50415
GMC,112245.0,2017,A,USED,31800
Hyundai,118935.0,2018,A,USED,27199
Mazda,63009.0,2022,A,USED,28950
Chevrolet,48168.77220551647,2023,A,USED,96998
Volkswagen,247.0,2024,A,NEW,37995
Lexus,499.0,2024,A,NEW,67100
Ford,15.0,2024,A,NEW,76295
Ram,22.0,2024,A,NEW,102570
Hyundai,18.0,2024,A,NEW,58299
Ram,30.0,2023,A,NEW,67845
Volkswagen,10.0,2024,A,NEW,29995
Ford,98727.0,2015,A,USED,15999
Audi,13557.0,2023,A,USED,55800
Kia,81303.0,2021,A,USED,51195
GMC,4100.0,2024,A,USED,37895
GMC,15.0,2024,A,NEW,34945
Mini,90.0,2024,A,NEW,47890
Ram,133842.0,2018,A,USED,72195
Ram,70881.0,2021,A,USED,62195
Ford,12.0,2024,A,NEW,51215
Ford,50.0,2024,A,NEW,71000
Volkswagen,11.0,2024,A,NEW,60495
Chevrolet,13684.0,2023,A,USED,96998
Toyota,48168.77220551646,2023,A,NEW,70270
Kia,46204.0,2021,A,USED,25095
Ford,33.0,2024,A,NEW,106500
Honda,6.0,2024,A,NEW,37630
Volkswagen,1142.0,2023,A,NEW,55495
Kia,48168.77220551646,2024,A,NEW,39495
Chevrolet,15.0,2024,A,NEW,63999
Volkswagen,10.0,2024,A,NEW,57995
Dodge,3604.0,2023,A,USED,42795
Lincoln,1200.0,2024,A,NEW,118500
Ford,287966.0,2017,A,USED,70799
Toyota,87899.0,2022,A,USED,30950
Ford,5.0,2023,A,NEW,64995
Lincoln,4169.0,2023,A,NEW,48900
Dodge,199425.0,2018,A,USED,38195
Ford,139083.0,2014,A,USED,24999
Ram,21164.0,2022,A,USED,48240
Ram,17.0,2023,A,NEW,54645
Chevrolet,212032.0,2013,A,USED,33785
Mercedes-Benz,6.0,2024,A,NEW,90100
Buick,5.0,2024,A,NEW,59798
Ford,90938.0,2022,A,USED,35400
Jeep,7724.0,2023,A,USED,70995
Ram,48168.77220551646,2024,A,NEW,68070
Ford,1.0,2024,A,NEW,67225
Hyundai,129845.0,2019,A,USED,28799
Jeep,19.0,2024,A,NEW,45170
Kia,48168.77220551646,2023,A,NEW,54795
Jeep,100.0,2024,A,NEW,61045
Ram,61772.0,2021,A,USED,50620
Toyota,35606.0,2022,A,USED,65250
Chevrolet,10.0,2024,A,NEW,63499
GMC,122758.0,2019,A,USED,80400
Mazda,237437.0,2016,A,USED,28995
Honda,145867.0,2019,A,USED,50690
BMW,52600.0,2021,A,USED,49350
GMC,48168.77220551646,2024,A,NEW,61399
Toyota,48168.77220551646,2024,A,NEW,33630
Ram,28474.0,2022,A,USED,63895
Toyota,63565.0,2020,A,USED,33790
Ford,49785.0,2019,A,USED,45799
Mitsubishi,190000.0,2016,A,USED,31198
Volkswagen,13.0,2024,A,NEW,34795
Chevrolet,5.0,2024,A,NEW,53999
Chevrolet,51100.0,2022,A,USED,51548
Mercedes-Benz,28500.0,2020,A,USED,43990
Volkswagen,12.0,2024,A,NEW,61495
Acura,11.0,2024,A,NEW,84990
Ram,48168.77220551646,2024,A,NEW,66070
Audi,33744.0,2022,A,USED,130850
Hyundai,77431.0,2013,A,USED,20399
Jeep,79940.0,2017,A,USED,29395
Chevrolet,348.0,2024,A,NEW,63499
Subaru,123787.0,2015,M,USED,44995
Honda,12.0,2024,A,NEW,46275
Audi,48168.77220551646,2024,A,NEW,140965
Infiniti,66098.0,2020,A,USED,53995
Hyundai,129777.0,2017,A,USED,30899
Chevrolet,30.0,2024,A,NEW,63499
Nissan,14.0,2024,A,NEW,25498
Ram,48168.77220551646,2024,A,NEW,79175
Volkswagen,48168.77220551646,2023,A,NEW,55495
Dodge,141.0,2023,A,NEW,45695
Ford,28380.0,2023,A,USED,98745
Honda,138924.0,2019,A,USED,46890
GMC,12105.0,2023,A,USED,54898
Chevrolet,59529.0,2021,A,USED,58398
GMC,3.0,2024,A,NEW,66699
Ford,10800.0,2013,A,USED,61699
Mazda,10.0,2024,A,NEW,24200
Hyundai,76159.0,2018,A,USED,33099
Ford,94187.0,2021,A,USED,40249
Volkswagen,155536.0,2012,A,USED,24475
Ram,39500.0,2019,A,USED,46095
Honda,43166.0,2022,A,USED,51585
Mazda,48168.77220551646,2024,A,NEW,64350
Kia,48168.77220551646,2024,A,NEW,35795
Kia,71830.0,2022,A,USED,28195
Buick,5.0,2023,A,NEW,47198
Ford,2808.0,2023,A,NEW,48340
Hyundai,10.0,2024,A,NEW,58299
Ram,17.0,2024,A,NEW,75650
Ford,45208.0,2023,A,USED,56480
